CGCG074-064    ALMA           178.30             0.15*           2018/12/06_1   0.69580            NA             member.uid___A001_X133d_X41e.CGCG_074-064_sci.spw23_25_27_29.cont.I.pbcor.fits
IC2560         VLA            22.02              13.26           2000/04/10_1   1.30358            20.945         22.0I1.40_BI017_2000APR10_1_187.U56.8S.imfits
IC2560         VLA            22.02              0.28*           2004/12/30_1   0.13376            NA             22.0I0.14_BG0155_2004DEC30_1_118.U42.6S.imfits
IC2560         VLA            22.12              10.44           1996/03/02_1   1.22850            20.094         22.1I1.32_BN2_1996MAR02_1_170.U56.5S.imfits
IC2560         VLA            22.12              10.15           1998/01/02_1   3.55365            8.567          22.1I3.83_BN006_1998JAN02_1_255.U56.8S.imfits
IC2560         VLA            33                 2.0             NA             0.19-0.50          20.000         Kamali, 2017, A&A, 605:A84
IC2560         ALMA           85.88              1.27            2016/06/14_1   1.37172            11.459         member.uid___A001_X2d8_X48d.ari_l.IC_2560_sci.spw0_1_2_3_85878MHz.12m.cont.I.pbcor.fits
IC2560         ALMA           234.45             1.86            2021/11/28_1   5.07725            9.651          member.uid___A001_X1590_Xa66.IC_2560_sci.spw16_18_20_22.cont.I.pbcor.fits
IC2560         ALMA           318.11             1.45            2014/12/31_1   0.81360            7.864          member.uid___A001_X122_X5f8.ari_l.IC_2560_sci.spw0_1_2_3_318112MHz.12m.cont.I.pbcor.fits
IC2560         ALMA           321.98             1.56            2015/05/21_1   0.38937            5.660          member.uid___A001_X122_X5fc.calibrated_final_cont_image.pbcor.fits
IC2560         ALMA           651.64             4.40            2014/12/12_1   0.36982            3.964          member.uid___A001_X122_X60c.ari_l.IC_2560_sci.spw0_1_2_3_651640MHz.12m.cont.I.pbcor.fits
MRK1029        VLA            33                 1.18            NA             0.19-0.50          8.429          Kamali, 2017, A&A, 605:A84
MRK1029        SMA            225.54             2.85*           2023/03/16_1   5.98143            NA             SMA_this_work
NGC1068        VLA            1.43               3931.73         1992/04/25_2   16.09436           25.363         1.43I16.0_AZ0053_1992APR25_1_1.18M15.6M.imfits
NGC1068        VLA            1.45               2321.97         1983/03/19_1   16.49513           24.598         1.46I16.5_AP0064_1983MAR19_1_375.U15.4M.imfits
NGC1068        VLA            1.46               2189.57         1982/08/29_1   4.71371            18.775         1.49I4.71_WYNN_1982AUG29_1_234.U2.84M.imfits
NGC1068        VLA            1.46               2327.86         1982/09/13_1   5.24267            18.498         1.49I5.27_COND_1982SEP13_1_161.U2.82M.imfits
NGC1068        VLA            1.49               4348.23         1984/10/21_1   47.83812           9.149          1.51I48.4_AC0101_1984OCT21_1_2.44M15.0M.imfits
NGC1068        VLA            1.65               3361.55         1992/04/25_1   11.85546           27.786         1.66I11.8_AZ0053_1992APR25_1_599.U13.5M.imfits
NGC1068        VLA            4.69               803.05          1992/04/25_1   4.91087            26.672         4.70I4.91_AZ0053_1992APR25_1_1.14M4.72M.imfits
NGC1068        VLA            4.86               527.81          1988/01/17_1   1.52450            56.615         4.89I1.54_AR0165_1988JAN17_1_1.16M2.73M.imfits
NGC1068        VLA            4.86               748.79          1989/09/12_1   4.06193            29.946         4.89I4.10_AM0270_1989SEP12_1_95.4U4.56M.imfits
NGC1068        VLA            4.86               542.11          1999/10/31_1   1.27302            52.016         4.89I1.27_AU079_1999OCT31_1_87.8U2.91M.imfits
NGC1068        VLA            4.86               2018.29         2003/02/20_1   14.13012           346.445        4.89I14.1_AA281_2003FEB20_1_201.U4.57M.imfits
NGC1068        VLA            4.89               474.20          1982/08/29_1   1.38609            55.731         4.91I1.38_WYNN_1982AUG29_1_116.U2.72M.imfits
NGC1068        VLA            4.89               1340.75         1982/12/31_1   14.31886           9.817          4.91I14.3_WYNN_1982DEC31_1_1.43M4.54M.imfits
NGC1068        VLA            4.89               387.00          1983/03/19_1   4.97339            26.813         4.91I4.99_AP0064_1983MAR19_1_220.U4.53M.imfits
NGC1068        VLA            8.44               250.90          1992/04/25_1   2.70869            24.927         8.45I2.71_AZ0053_1992APR25_1_780.U2.59M.imfits
NGC1068        ALMA           85.88              44.91           2016/06/27_1   1.38320            101.719        member.uid___A001_X5a3_X157.ari_l.NGC_1068_sci.spw0_1_2_3_85878MHz.12m.cont.I.pbcor.fits
NGC1068        ALMA           92.05              31.07           2015/08/06_1   0.58344            68.614         member.uid___A001_X121_X38a.NGC1068_cont.pbcorr.fits
NGC1068        ALMA           103.07             48.11           2014/12/14_1   3.19720            45.078         member.uid___A001_X144_X214.NGC1068_b_03_TE.cont.image.pbcor.fits
NGC1068        ALMA           106.36             47.41           2014/12/25_1   3.34344            48.063         member.uid___A001_X144_X210.NGC1068_a_03_TE.cont.image.pbcor.fits
NGC1068        ALMA           113.47             38.16           2019/01/19_1   2.03112            59.206         member.uid___A001_X133d_X3ff2.NGC1068_sci.spw22_24_26.cont.I.pbcor.fits
NGC1068        ALMA           113.47             19.60           2019/09/24_1   0.37994            178.242        member.uid___A001_X133d_X3ff0.NGC1068_sci.spw22_24_26.cont.I.pbcor.fits
NGC1068        ALMA           113.48             76.39           2019/01/09_1   10.88683           37.909         member.uid___A001_X133d_X3ff4.NGC1068_sci.spw15_17_19.cont.I.pbcor.fits
NGC1068        ALMA           129.77             16.69           2015/08/07_1   0.39681            132.598        member.uid___A001_X121_X386.ari_l.NGC1068_sci.spw0_129769MHz.12m.cont.I.pbcor.fits
NGC1068        ALMA           151.51             22.51           2016/07/19_1   0.51814            209.137        member.uid___A001_X2fe_X4cb.NGC1068_B4_cont.clean.image.pbcor.fits
NGC1068        ALMA           181.72             16.72           2018/11/09_1   0.37015            75.406         member.uid___A001_X133d_X432.NGC_1068_sci.spw23_25_27_29.cont.I.pbcor.fits
NGC1068        ALMA           216.23             8.28            2015/07/05_1   0.21828            85.298         member.uid___A001_X122_X2f.ari_l.ngc_1068_sci.spw0_1_2_216232MHz.12m.cont.I.pbcor.fits
