CGCG074-064    ALMA           178.30             0.15*           2018/12/06_1   0.69580            NA             member.uid___A001_X133d_X41e.CGCG_074-064_sci.spw23_25_27_29.cont.I.pbcor.fits
NGC3079        VLA            4.86               104.75          1988/01/17_1   1.32380            22.267         4.89I1.32_AR0165_1988JAN17_1_2.23M2.81M.imfits
NGC3079        VLA            4.86               97.14           1988/02/25_1   2.45113            51.143         4.89I2.65_TT0001_1988FEB25_1_90.0U4.55M.imfits
NGC3079        VLA            4.86               89.82           1989/05/16_1   2.26776            52.499         4.89I2.45_TT0001_1989MAY16_1_65.8U4.55M.imfits
NGC3079        VLA            4.86               44.32           1991/08/11_1   0.48737            52.609         4.89I0.56_TT0001_1991AUG11_1_71.2U42.6S.imfits
NGC3079        VLA            4.86               83.69           1991/12/06_1   1.20597            55.220         4.89I1.20_AR0258_1991DEC06_1_112.U59.6S.imfits
NGC3079        VLA            4.86               58.92           1995/07/21_1   0.38699            56.623         4.89I0.39_AB0740_1995JUL21_1_58.9U39.5S.imfits
NGC3079        VLA            4.86               108.62          1996/04/16_1   4.36852            23.023         4.89I4.41_ASTUD_1996APR16_1_116.U4.55M.imfits
NGC3079        VLA            4.86               98.75           1999/10/31_1   1.34924            50.952         4.89I1.37_AU079_1999OCT31_1_76.6U3.10M.imfits
NGC3079        VLA            4.87               89.67           1982/08/02_1   1.28368            91.020         4.87I1.29_DURI_1982AUG02_1_94.8U4.54M.imfits
NGC3079        VLA            4.87               116.22          1983/03/07_1   4.23585            23.935         4.87I4.24_AS0012_1983MAR07_1_116.U4.55M.imfits
NGC3079        VLA            4.89               62.06           1983/01/20_1   4.48151            17.787         4.91I4.51_BALO_1983JAN20_1_242.U4.53M.imfits
NGC3079        VLA            4.99               59.11           1994/02/27_1   0.44294            55.109         5.01I0.45_GK0011_1994FEB27_1_88.7U38.3S.imfits
NGC3079        VLA            4.99               63.09           1996/12/02_1   0.37899            57.115         5.01I0.37_BT0026_1996DEC02_1_47.1U38.8S.imfits
NGC3079        VLA            8.41               69.08           1996/12/02_1   0.23025            91.172         8.44I0.23_BT0026_1996DEC02_1_42.1U52.9S.imfits
NGC3079        VLA            8.41               89.84           1997/03/08_1   0.75058            89.727         8.44I0.75_BS044B_1997MAR08_1_45.1U2.60M.imfits
NGC3079        VLA            8.41               105.34          1998/11/18_1   2.40964            24.693         8.44I2.41_BS044D_1998NOV18_1_72.2U2.60M.imfits
NGC3079        VLA            8.44               36.92           1987/08/25_1   0.22902            90.266         8.46I0.24_TT0001_1987AUG25_1_68.3U46.1S.imfits
NGC3079        VLA            8.44               61.34           1987/11/06_1   0.83063            87.162         8.46I0.84_AC0176_1987NOV06_1_116.U1.59M.imfits
NGC3079        VLA            8.44               72.18           1989/05/16_1   1.26396            49.691         8.46I1.38_TT0001_1989MAY16_1_54.0U2.59M.imfits
NGC3079        VLA            8.44               12.84           1991/06/24_1   0.25943            55.204         8.46I0.26_AP0212_1991JUN24_1_76.0U44.7S.imfits
NGC3079        VLA            8.44               27.85           1991/08/11_1   0.28268            61.955         8.46I0.32_TT0001_1991AUG11_1_65.7U42.6S.imfits
NGC3079        VLA            8.44               86.95           1992/04/28_1   2.29959            25.026         8.46I2.31_AP0233_1992APR28_1_119.U2.59M.imfits
NGC3079        VLA            8.46               102.28          1996/04/16_1   2.53797            23.503         8.49I2.56_ASTUD_1996APR16_1_122.U2.58M.imfits
NGC3079        VLA            8.46               99.33           2002/06/10_1   0.71145            73.784         8.49I0.71_AB1051_2002JUN10_1_60.2U2.58M.imfits
NGC3079        VLA            8.46               118.57          2003/05/18_1   0.27465            94.106         8.49I0.27_AA278_2003MAY18_1_85.3U56.2S.imfits
NGC3079        VLA            8.46               182.04          2003/05/20_1   0.22983            92.292         8.49I0.23_AA278_2003MAY20_1_138.U43.4S.imfits
NGC3079        VLA            8.46               190.57          2003/05/24_1   0.24477            96.271         8.49I0.24_AA278_2003MAY24_1_97.3U1.02M.imfits
NGC3079        VLA            8.46               168.58          2003/05/26_1   0.24058            93.731         8.49I0.24_AA278_2003MAY26_1_101.U1.01M.imfits
NGC3079        VLA            8.46               194.34          2003/09/16_1   0.41498            94.252         8.49I0.49_AA0278_2003SEP16_1_253.U56.4S.imfits
NGC3079        VLA            8.46               145.32          2003/09/21_1   0.50228            93.226         8.49I0.57_AA0278_2003SEP21_1_123.U1.35M.imfits
NGC3079        VLA            8.46               134.54          2003/09/25_1   0.51152            92.276         8.49I0.58_AA0278_2003SEP25_1_135.U1.36M.imfits
NGC3079        VLA            8.46               124.28          2003/10/16_1   0.81520            82.515         8.49I0.85_AS0779_2003OCT16_1_73.6U2.58M.imfits
NGC3079        VLA            8.46               124.44          2003/10/17_1   0.81519            82.564         8.49I0.85_AS0779_2003OCT17_1_73.9U2.58M.imfits
NGC3079        VLA            14.94              44.46           1983/11/01_1   0.11572            92.078         14.9I0.11_AB0263_1983NOV01_1_346.U42.6S.imfits
NGC3079        VLA            14.94              13.61           1983/11/30_1   0.12649            29.888         14.9I0.12_AB0182_1983NOV30_1_384.U44.8S.imfits
NGC3079        VLA            14.94              27.93           1984/03/01_1   0.84410            26.755         14.9I0.94_AB0182_1984MAR01_1_484.U1.43M.imfits
NGC3079        VLA            14.94              44.53           1984/06/26_1   1.58108            20.262         14.9I1.62_AB0182_1984JUN26_1_529.U1.43M.imfits
NGC3079        VLA            14.94              17.95           1984/11/10_1   0.12150            43.932         14.9I0.12_AB0182_1984NOV10_1_335.U44.4S.imfits
NGC3079        VLA            14.94              33.94           1985/03/25_1   0.27057            62.593         14.9I0.29_AB0182_1985MAR25_1_322.U1.38M.imfits
NGC3079        VLA            14.94              42.84           1985/05/08_1   0.38998            64.864         14.9I0.39_AW0122_1985MAY08_1_293.U1.43M.imfits
NGC3079        VLA            14.94              24.40           1985/06/21_1   0.89357            27.480         14.9I1.02_AB0182_1985JUN21_1_387.U1.43M.imfits
NGC3079        VLA            14.94              75.92           1986/01/16_1   4.36902            9.242          14.9I4.38_AD0177_1986JAN16_1_197.U1.43M.imfits
NGC3079        VLA            14.94              37.95           1986/05/10_1   0.12963            122.144        14.9I0.13_AC0156_1986MAY10_1_130.U43.6S.imfits
NGC3079        VLA            14.94              56.51           1987/11/06_1   0.27808            128.698        14.9I0.32_AC0176_1987NOV06_1_177.U1.34M.imfits
NGC3079        VLA            14.94              59.19           1988/02/25_1   0.79669            50.402         14.9I0.88_TT0001_1988FEB25_1_104.U1.43M.imfits
NGC3079        VLA            14.94              47.38           1989/05/16_1   0.74142            48.696         14.9I0.80_TT0001_1989MAY16_1_160.U1.43M.imfits
NGC3079        VLA            14.94              61.83           1996/04/16_1   1.46668            23.554         14.9I1.48_ASTUD_1996APR16_1_273.U1.43M.imfits
NGC3079        VLA            14.96              43.85           1982/07/02_1   0.13854            69.807         14.9I0.13_BURN_1982JUL02_1_454.U42.7S.imfits
NGC3079        VLA            14.96              19.47           1983/01/20_1   1.37426            11.923         14.9I1.38_BALO_1983JAN20_1_584.U1.43M.imfits
NGC3079        VLA            15.36              32.96           1996/12/02_1   0.13494            112.628        15.3I0.13_BT0026_1996DEC02_1_137.U43.6S.imfits
NGC3079        VLA            15.36              47.34           1997/03/08_1   0.42197            52.948         15.3I0.42_BS044B_1997MAR08_1_150.U1.39M.imfits
NGC3079        VLA            15.36              62.10           1998/11/18_1   1.30570            26.104         15.3I1.30_BS044D_1998NOV18_1_170.U1.39M.imfits
NGC3079        VLA            15.36              65.87           2001/03/24_1   0.42358            77.926         15.3I0.42_BK083B_2001MAR24_1_118.U1.38M.imfits
NGC3079        VLA            22.15              96.60           2001/03/23_1   0.27806            71.940         22.1I0.27_BK083A_2001MAR23_1_111.U56.4S.imfits
NGC3079        VLA            22.15              140.47          2001/12/17_1   3.11119            168.329        22.1I3.11_BN018_2001DEC17_1_228.U56.4S.imfits
NGC3079        VLA            22.16              122.56          1997/03/08_1   0.28234            91.003         22.1I0.28_BS044B_1997MAR08_1_154.U56.4S.imfits
NGC3079        VLA            22.16              113.91          1997/10/02_1   1.70436            18.786         22.1I1.80_BS044C_1997OCT02_1_349.U56.5S.imfits
NGC3079        VLA            22.16              105.30          1998/11/18_1   0.88962            25.538         22.1I0.88_BS044D_1998NOV18_1_243.U56.4S.imfits
NGC3079        VLA            22.19              27.51           1996/10/20_1   0.12068            66.590         22.2I0.12_BS0044_1996OCT20_1_263.U45.4S.imfits
NGC3079        VLA            43.34              2.94            1998/02/25_1   0.04072            4.763          43.3I0.04_AG0527_1998FEB25_1_346.U26.6S.imfits
NGC3079        SMA            225.53             34.70           2023/03/16_1   5.20807            13.847         SMA_this_work
NGC3393        VLA            1.43               43.25           1992/11/29_1   1.69710            16.824         1.45I1.79_AB0618_1992NOV29_1_59.0U40.8S.imfits
NGC3393        VLA            1.49               63.83           1990/10/27_1   17.82488           17.103         1.51I19.1_AB0581_1990OCT27_1_108.U10.1M.imfits
NGC3393        VLA            1.49               41.36           1991/10/11_1   2.76992            17.102         1.51I2.77_AB0618_1991OCT11_1_58.9U41.2S.imfits
NGC3393        VLA            4.86               20.46           1990/10/27_1   5.39834            25.708         4.89I5.82_AB0581_1990OCT27_1_53.1U4.55M.imfits
NGC3393        VLA            4.86               10.52           1991/10/11_1   0.83374            40.036         4.89I0.83_AB0618_1991OCT11_1_42.7U37.4S.imfits
NGC3393        VLA            4.86               0.85            1992/11/29_1   0.48285            3.246          4.89I0.50_AB0618_1992NOV29_1_33.2U36.7S.imfits
NGC3393        VLA            8.44               11.42           1990/10/27_1   3.19520            26.149         8.46I3.38_AB0581_1990OCT27_1_46.2U2.59M.imfits
NGC3393        VLA            8.44               0.61            1991/10/11_1   0.50093            7.159          8.46I0.50_AB0618_1991OCT11_1_29.1U51.5S.imfits
NGC3393        VLA            8.44               0.52            1992/11/29_1   0.28208            6.209          8.46I0.29_AB0618_1992NOV29_1_26.7U50.0S.imfits
NGC3393        VLA            8.46               0.55            2000/11/14_1   0.36878            5.715          8.49I0.44_AB0973_2000NOV14_1_46.3U49.3S.imfits
NGC3393        VLA            21.96              33.50           2004/04/26_1   1.14296            24.659         21.9I1.20_BK0110_2004APR26_1_367.U57.0S.imfits
NGC3393        VLA            22.46              0.91*           2003/09/25_1   0.32466            NA             22.4I0.34_AK0574_2003SEP25_1_328.U55.6S.imfits
NGC3393        VLA            33                 5.30            NA             0.19-0.50          14.722         Kamali, 2017, A&A, 605:A84
NGC3393        ALMA           85.88              1.24            2016/06/12_1   1.30354            6.375          member.uid___A001_X2d8_X491.ari_l.NGC_3393_sci.spw0_1_2_3_85877MHz.12m.cont.I.pbcor.fits
NGC3393        ALMA           180.16             0.35            2018/11/14_1   0.32204            4.183          member.uid___A001_X133d_X412.NGC_3393_sci.spw23_25_27_29.cont.I.pbcor.fits
NGC3393        ALMA           229.35             0.35            2017/05/02_1   0.33163            4.150          member.uid___A001_X87d_X5ca.NGC_3393_sci.spw19_21_23_25.cont.I.pbcor.fits
NGC3393        ALMA           235.74             0.27            2016/05/03_1   0.53523            4.036          member.uid___A001_X2fe_X675.ari_l.ngc3393_sci.spw0_1_2_3_235737MHz.12m.cont.I.pbcor.fits
NGC4258        VLA            1.41               2.29            1995/08/28_1   1.23263            53.681         1.41I1.23_AD0364_1995AUG28_1_23.9U3.92M.imfits
NGC4258        VLA            1.46               1.94            1982/06/13_1   1.23503            13.021         1.49I1.24_PRIC_1982JUN13_1_64.1U34.1S.imfits
NGC4258        VLA            1.49               3.24            1984/02/13_1   5.15566            11.343         1.51I5.41_AS0080_1984FEB13_1_74.2U2.84M.imfits
NGC4258        VLA            1.49               1.70            1985/03/30_1   2.42816            8.338          1.51I2.69_AV0096_1985MAR30_1_92.3U1.56M.imfits
NGC4258        VLA            1.49               8.73            1985/06/29_1   12.14800           10.097         1.51I12.2_AV0096_1985JUN29_1_93.2U4.95M.imfits
NGC4258        VLA            1.49               2.81            1987/11/06_1   2.68618            16.207         1.51I3.07_AC0176_1987NOV06_1_39.6U1.07M.imfits
NGC4258        VLA            1.49               3.42            1987/12/11_1   4.05004            13.897         1.51I4.05_AC0176_1987DEC11_1_37.4U1.64M.imfits
NGC4258        VLA            1.49               2.75            1989/04/06_1   4.00589            12.665         1.51I4.04_AS0333_1989APR06_1_88.7U2.73M.imfits
NGC4258        VLA            1.66               1.65            1997/01/07_1   1.11455            16.509         1.69I1.11_BG0062_1997JAN07_1_41.6U42.0S.imfits
NGC4258        VLA            1.66               3.99            1999/06/03_1   5.57908            5.727          1.69I5.83_BH042B_1999JUN03_1_126.U1.16M.imfits
NGC4258        VLA            1.66               8.89            1999/06/04_1   16.83752           4.223          1.69I16.9_BH042B_1999JUN04_1_1.62M3.70M.imfits
NGC4258        VLA            4.86               2.32            1984/04/11_1   3.93649            15.992         4.89I3.95_AV0096_1984APR11_1_60.0U4.55M.imfits
NGC4258        VLA            4.86               1.98            1985/06/29_1   3.66354            17.872         4.89I3.70_AV0096_1985JUN29_1_57.2U4.55M.imfits
NGC4258        VLA            4.86               2.16            1985/08/22_1   4.16147            13.904         4.89I4.16_AV0096_1985AUG22_1_62.5U4.55M.imfits
NGC4258        VLA            4.86               1.68            1986/08/16_1   1.32976            16.573         4.89I1.34_AD0176_1986AUG16_1_75.1U2.81M.imfits
NGC4258        VLA            4.86               2.56            1986/12/16_1   4.16982            21.549         4.89I4.18_AC0176_1986DEC16_1_21.9U4.56M.imfits
NGC4258        VLA            4.86               1.79            1988/02/01_1   1.28761            16.980         4.89I1.31_AS0314_1988FEB01_1_78.2U2.81M.imfits
NGC4258        VLA            4.86               1.58            1989/04/06_1   1.21798            20.340         4.89I1.22_AS0333_1989APR06_1_56.3U2.72M.imfits
NGC4258        VLA            4.86               2.25            1989/07/17_1   3.57411            14.485         4.89I3.60_AS0333_1989JUL17_1_71.0U4.56M.imfits
NGC4258        VLA            4.86               1.70            1991/12/06_1   1.25435            12.148         4.89I1.25_AR0258_1991DEC06_1_118.U1.25M.imfits
NGC4258        VLA            4.86               2.03            1996/12/07_1   0.36458            24.084         4.89I0.36_AH0594_1996DEC07_1_67.0U42.9S.imfits
NGC4258        VLA            4.86               1.96            1996/12/22_1   0.36441            23.863         4.89I0.36_AH0594_1996DEC22_1_65.2U42.9S.imfits
NGC4258        VLA            4.86               1.99            1996/12/29_1   0.36572            22.451         4.89I0.36_AH0594_1996DEC29_1_72.3U28.0S.imfits
NGC4258        VLA            4.86               1.10            1996/12/31_1   0.36481            9.039          4.89I0.36_AH0594_1996DEC31_1_97.6U42.9S.imfits
NGC4258        VLA            4.86               1.64            1997/01/05_1   0.36394            12.546         4.89I0.36_AH0594_1997JAN05_1_119.U42.9S.imfits
NGC4258        VLA            4.86               2.23            1997/03/06_1   1.82937            18.649         4.89I2.04_BM056C_1997MAR06_1_86.5U2.87M.imfits
NGC4258        VLA            4.86               2.05            1997/03/07_1   1.80091            17.337         4.89I1.99_BH025A_1997MAR07_1_88.0U2.87M.imfits
NGC4258        VLA            4.86               2.30            1997/03/19_1   1.50598            11.677         4.89I1.54_AH594_1997MAR19_1_149.U2.81M.imfits
NGC4258        VLA            4.86               1.94            1998/09/05_1   1.86205            18.178         4.89I2.11_BM112A_1998SEP05_1_77.7U2.88M.imfits
NGC4258        VLA            4.86               1.92            1999/09/05_1   0.45106            18.028         4.89I0.45_AN8500_1999SEP05_1_90.6U43.6S.imfits
NGC4258        VLA            4.86               1.95            1999/10/31_1   1.29874            25.807         4.89I1.31_AU079_1999OCT31_1_48.5U3.10M.imfits
NGC4258        VLA            4.89               2.39            1983/05/04_1   4.36645            9.291          4.91I4.40_BCTE_1983MAY04_1_124.U4.54M.imfits
NGC4258        VLA            4.99               1.16            1997/01/04_1   0.60158            4.782          5.01I0.65_BR0043_1997JAN04_1_236.U39.2S.imfits
NGC4258        VLA            8.41               1.58            1997/01/04_1   0.37684            10.313         8.44I0.42_BR0043_1997JAN04_1_141.U51.3S.imfits
NGC4258        VLA            8.44               1.87            1991/09/01_1   0.24832            51.309         8.46I0.25_AW0278_1991SEP01_1_27.3U51.0S.imfits
NGC4258        VLA            8.44               2.65            1996/03/11_1   2.25518            25.140         8.46I2.25_AK415_1996MAR11_1_9.31U2.59M.imfits
NGC4258        VLA            8.46               2.18            1996/12/07_1   0.21111            34.555         8.49I0.21_AH0594_1996DEC07_1_52.5U42.7S.imfits
NGC4258        VLA            8.46               2.17            1996/12/22_1   0.21047            34.806         8.49I0.21_AH0594_1996DEC22_1_51.4U42.7S.imfits
NGC4258        VLA            8.46               1.86            1996/12/29_1   0.21255            18.833         8.49I0.21_AH0594_1996DEC29_1_92.0U43.1S.imfits
NGC4258        VLA            8.46               1.94            1996/12/31_1   0.21119            21.613         8.49I0.21_AH0594_1996DEC31_1_78.2U42.7S.imfits
NGC4258        VLA            8.46               1.74            1997/01/05_1   0.20948            18.236         8.49I0.21_AH0594_1997JAN05_1_87.9U42.7S.imfits
NGC4258        VLA            8.46               2.23            1997/03/06_1   1.00221            20.968         8.49I1.10_BM056C_1997MAR06_1_64.0U2.58M.imfits
NGC4258        VLA            8.46               2.30            1997/03/07_1   0.99039            19.002         8.49I1.08_BH025A_1997MAR07_1_70.3U2.58M.imfits
NGC4258        VLA            8.46               2.26            1997/03/19_1   0.91066            10.113         8.49I0.94_AH594_1997MAR19_1_133.U2.58M.imfits
NGC4258        VLA            8.46               1.99            1998/09/05_1   1.12330            17.585         8.49I1.33_BM112A_1998SEP05_1_66.8U2.58M.imfits
NGC4258        VLA            8.46               2.00            1999/09/05_1   0.25714            27.341         8.49I0.25_AN8500_1999SEP05_1_60.1U59.6S.imfits
NGC4258        VLA            8.46               2.88            2004/05/22_1   4.86386            11.854         8.49I5.64_AH0847_2004MAY22_1_99.2U2.58M.imfits
NGC4258        VLA            8.46               1.94            2004/09/25_1   0.22843            31.626         8.49I0.23_AH0847_2004SEP25_1_51.8U44.4S.imfits
NGC4258        VLA            8.46               1.77            2004/11/24_1   0.20799            29.172         8.49I0.20_AH0847_2004NOV24_1_51.9U43.2S.imfits
NGC4258        VLA            8.46               1.61            2005/02/10_1   0.41868            21.902         8.49I0.47_AH0847_2005FEB10_1_59.2U1.31M.imfits
NGC4258        VLA            14.94              2.53            1996/12/07_1   0.11691            18.414         14.9I0.11_AH0594_1996DEC07_1_117.U42.6S.imfits
NGC4258        VLA            14.94              1.99            1996/12/22_1   0.11423            14.295         14.9I0.11_AH0594_1996DEC22_1_120.U42.6S.imfits
NGC4258        VLA            14.94              2.72            1996/12/29_1   0.11558            15.674         14.9I0.11_AH0594_1996DEC29_1_140.U42.6S.imfits
NGC4258        VLA            14.94              2.09            1996/12/31_1   0.11636            11.928         14.9I0.11_AH0594_1996DEC31_1_136.U42.6S.imfits
NGC4258        VLA            14.94              2.75            1997/01/05_1   0.11629            15.373         14.9I0.11_AH0594_1997JAN05_1_138.U42.6S.imfits
NGC4258        VLA            14.94              2.19            1998/03/03_1   0.12411            6.217          14.9I0.12_AF0339_1998MAR03_1_304.U44.4S.imfits
NGC4258        VLA            14.94              3.13            1998/03/05_1   0.12178            9.604          14.9I0.12_AF0339_1998MAR05_1_280.U44.4S.imfits
NGC4258        VLA            14.94              2.14            1998/09/05_1   0.75829            6.909          14.9I1.00_BM112A_1998SEP05_1_187.U1.43M.imfits
NGC4258        VLA            14.94              1.53            1999/09/05_1   0.14248            4.606          14.9I0.14_AN8500_1999SEP05_1_251.U1.09M.imfits
NGC4258        VLA            14.96              3.18            1983/04/18_1   1.46631            8.588          14.9I1.48_AT0025_1983APR18_1_183.U1.42M.imfits
NGC4258        VLA            15.36              1.11*           1997/01/04_1   0.14702            NA             15.3I0.14_BR0043_1997JAN04_1_351.U42.7S.imfits
NGC4258        VLA            22.16              17.87           2000/08/12_1   2.97429            30.469         22.1I2.97_BG107_2000AUG12_1_216.U56.4S.imfits
NGC4258        VLA            22.23              91.27           1995/05/29_1   2.81363            9.116          22.2I2.81_BM0036_1995MAY29_1_232.U56.3S.imfits
NGC4258        VLA            22.23              12.25           1998/09/05_1   0.27553            42.406         22.2I0.27_BM112A_1998SEP05_1_146.U56.2S.imfits
NGC4258        VLA            22.24              284.04          1997/10/01_1   1.69863            18.255         22.2I1.77_BM081A_1997OCT01_1_581.U56.3S.imfits
NGC4258        VLA            22.46              3.46            1996/01/20_1   0.53685            8.706          22.4I0.60_AG448_1996JAN20_1_209.U55.6S.imfits
NGC4258        VLA            22.46              4.07            1996/02/03_1   0.52910            8.606          22.4I0.60_AG448_1996FEB03_1_217.U55.6S.imfits
NGC4258        VLA            22.46              26.95           1996/02/22_1   1.46093            13.025         22.4I1.59_BM56A_1996FEB22_1_397.U55.6S.imfits
NGC4258        VLA            22.46              5.96            1996/09/21_1   4.92504            3.269          22.4I6.12_BM0056_1996SEP21_1_508.U55.6S.imfits
NGC4258        VLA            22.46              2.35            1996/12/07_1   0.07811            12.664         22.4I0.07_AH0594_1996DEC07_1_137.U42.8S.imfits
NGC4258        VLA            22.46              2.31            1996/12/22_1   0.07851            14.014         22.4I0.07_AH0594_1996DEC22_1_122.U42.8S.imfits
NGC4258        VLA            22.46              1.99            1996/12/29_1   0.07527            10.995         22.4I0.07_AH0594_1996DEC29_1_134.U42.6S.imfits
NGC4258        VLA            22.46              3.99*           1996/12/31_1   0.07762            NA             22.4I0.07_AH0594_1996DEC31_1_294.U42.8S.imfits
NGC4258        VLA            22.46              2.56            1997/01/05_1   0.07789            12.777         22.4I0.07_AH0594_1997JAN05_1_147.U42.8S.imfits
NGC4258        VLA            22.46              3.64            1997/02/10_1   0.16824            10.529         22.4I0.19_AG0448_1997FEB10_1_207.U55.6S.imfits
NGC4258        VLA            22.46              2.72            1997/02/26_1   0.25389            7.125          22.4I0.25_AG448_1997FEB26_1_216.U55.6S.imfits
NGC4258        VLA            22.46              3.49            1997/03/19_1   0.29748            7.880          22.4I0.30_AH594_1997MAR19_1_249.U55.6S.imfits
NGC4258        VLA            22.46              4.21            1997/07/29_1   0.92831            9.757          22.4I0.93_AH614_1997JUL29_1_177.U55.7S.imfits
NGC4258        VLA            22.46              79.89           2004/05/22_1   1.74628            4.932          22.4I1.92_AH0847_2004MAY22_1_2.38M55.7S.imfits
NGC4258        VLA            22.46              62.76           2004/07/23_1   2.76491            7.603          22.4I2.76_AH0847_2004JUL23_1_802.U55.8S.imfits
NGC4258        VLA            22.46              2.86            2004/09/25_1   0.07758            27.085         22.4I0.07_AH0847_2004SEP25_1_78.9U42.7S.imfits
NGC4258        VLA            22.46              525.33          2004/11/24_1   0.08150            80.779         22.4I0.08_AH0847_2004NOV24_1_4.23M44.6S.imfits
NGC4258        VLA            22.46              2.67            2005/02/10_1   0.15559            20.775         22.4I0.17_AH0847_2005FEB10_1_76.3U55.6S.imfits
NGC4258        VLA            43.34              5.82            2000/12/21_1   0.04974            7.338          43.3I0.05_AN0097_2000DEC21_1_502.U26.6S.imfits
NGC4258        NMA            96                 11              NA             7                  4.074          Doi et al, 2005, MNRAS, 363:2
NGC4258        SMA            225.51             12.41           2023/03/16_1   5.63004            5.430          SMA_this_work
NGC4258        SCUBA-JCMT     347                93.7            NA             15                 3.198          Doi et al, 2005, MNRAS, 363:2
NGC4388        VLA            1.43               13.03           1998/05/13_1   1.27302            13.974         1.45I1.27_AI73_1998MAY13_1_64.0U29.6S.imfits
NGC4388        VLA            1.46               22.69           1989/03/16_1   5.12151            15.561         1.49I5.15_AE0058_1989MAR16_1_225.U1.77M.imfits
NGC4388        VLA            1.49               10.69           1986/05/24_1   1.36314            13.058         1.51I1.36_AH0230_1986MAY24_1_40.4U39.2S.imfits
NGC4388        VLA            1.49               35.31           1986/08/01_1   4.05397            16.817         1.51I4.05_AI0028_1986AUG01_1_54.2U1.89M.imfits
NGC4388        VLA            1.49               536.12          1988/05/07_1   13.10660           17.444         1.51I13.1_AI0034_1988MAY07_1_2.69M10.1M.imfits
NGC4388        VLA            1.49               126.56          1988/08/22_1   43.47106           9.893          1.51I43.6_AS0345_1988AUG22_1_227.U15.0M.imfits
NGC4388        VLA            4.86               3.13            1985/01/20_1   0.39088            17.250         4.89I0.39_AM0139_1985JAN20_1_147.U55.2S.imfits
NGC4388        VLA            4.86               6.52            1985/05/03_1   1.24531            57.479         4.89I1.24_AW0134_1985MAY03_1_31.6U2.72M.imfits
NGC4388        VLA            4.86               3.53            1986/05/24_1   0.36861            44.449         4.89I0.36_AH0230_1986MAY24_1_44.8U52.3S.imfits
NGC4388        VLA            4.86               6.53            1986/07/24_1   1.27657            58.791         4.89I1.27_AH0230_1986JUL24_1_21.9U2.72M.imfits
NGC4388        VLA            4.86               30.51           1988/07/15_1   13.76103           10.873         4.89I13.7_AI0034_1988JUL15_1_90.9U4.57M.imfits
NGC4388        VLA            4.86               3.75            1998/03/01_1   0.38380            29.599         4.89I0.38_AB0808_1998MAR01_1_95.1U55.0S.imfits
NGC4388        VLA            4.86               6.48            1999/10/31_1   1.21749            45.788         4.89I1.21_AU079_1999OCT31_1_55.6U2.91M.imfits
NGC4388        VLA            4.89               35.18           1982/11/28_1   14.25162           10.350         4.91I14.3_AC0062_1982NOV28_1_249.U4.53M.imfits
NGC4388        VLA            8.44               3.24            1990/02/24_1   0.21074            50.049         8.46I0.21_AH0396_1990FEB24_1_50.0U42.6S.imfits
NGC4388        VLA            8.44               3.16            1990/03/04_1   0.21364            49.486         8.46I0.21_AH0396_1990MAR04_1_49.0U42.6S.imfits
NGC4388        VLA            8.44               2.93            1990/04/28_1   0.28803            45.873         8.46I0.30_AH0399_1990APR28_1_48.5U45.0S.imfits
NGC4388        VLA            8.44               2.75            1991/06/24_1   0.23246            39.668         8.46I0.23_AP0212_1991JUN24_1_55.1U1.07M.imfits
NGC4388        VLA            8.44               8.49            1992/04/28_1   2.34921            24.751         8.46I2.34_AP0233_1992APR28_1_73.8U2.59M.imfits
NGC4388        VLA            8.46               3.89            1997/02/01_1   0.47211            83.810         8.49I0.52_AW0446_1997FEB01_1_22.4U1.31M.imfits
NGC4388        VLA            14.94              2.98            1986/05/10_1   0.12100            21.941         14.9I0.12_AC0156_1986MAY10_1_116.U43.0S.imfits
NGC4388        VLA            14.94              2.56            1998/03/03_1   0.12494            7.070          14.9I0.12_AF0339_1998MAR03_1_307.U45.5S.imfits
NGC4388        VLA            14.94              1.56            1998/03/05_1   0.11786            4.706          14.9I0.11_AF0339_1998MAR05_1_286.U42.9S.imfits
NGC4388        VLA            33                 8.57            NA             0.19-0.50          19.930         Kamali, 2017, A&A, 605:A84
NGC4388        VLA            43.34              0.89*           1998/02/26_1   0.04461            NA             43.3I0.04_AG0527_1998FEB26_1_323.U26.6S.imfits
NGC4388        ALMA           85.87              2.17            2016/07/02_1   1.31450            17.296         member.uid___A001_X5a3_X16b.ari_l.NGC_4388_sci.spw0_1_2_3_85869MHz.12m.cont.I.pbcor.fits
NGC4388        ALMA           223.52             6.65            2019/12/22_1   5.88310            8.790          member.uid___A001_X1465_X252f.NGC_4388_sci.spw16_18_20_22.cont.I.pbcor.fits
NGC4388        SMA            225.51             12.23*          2023/03/16_1   5.62306            NA             SMA_this_work
NGC4388        ALMA           347.97             2.95            2018/04/19_1   0.54595            10.264         member.uid___A001_X1284_X1c4c.NGC4388_sci.spw19_21_25_27.cont.I.pbcor.fits
NGC4388        ALMA           348.00             18.22*          2023/04/28_1   3.97282            NA             member.uid___A001_X2d1f_X390.NGC4388_sci.spw16_18_20_22.cont.I.pbcor.fits
NGC4388        ALMA           348.15             2.53            2017/12/31_1   0.11073            17.468         member.uid___A001_X1284_X1c4a.NGC4388_sci.spw19_21_25_27.cont.I.pbcor.fits
